rack_type,rack_spaces,Comments,Latitude,Longitude,x,y
Lightning Bolt Rack,25,,38.54052292,-121.74744353,6633907.60796617,1958767.290132165
Lightning Bolt Rack,5,,38.54069328,-121.74729275,6633950.559980005,1958829.451097086
Lightning Bolt Rack,5,,38.54060798,-121.7472186,6633971.855213001,1958798.4472220838
Lightning Bolt Rack,5,,38.54071564,-121.74685224,6634076.532825172,1958837.9445184171
Lightning Bolt Rack,5,,38.54034411,-121.74654103,6634165.925034836,1958702.8899985105
Lightning Bolt Rack,47,,38.5381085,-121.76030483,6630231.297405422,1957878.048144251
Varsity Rack,40,Varsity lock,38.54018415,-121.74720643,6633975.765966341,1958644.1079638451
Playground Rack,6,,38.53939428,-121.74650962,6634175.873505756,1958357.010112837
Coat Hanger Rack,28,,38.53895002,-121.74766089,6633847.026394427,1958194.3021049201
Lightning Bolt Rack,33,,38.53918248,-121.74767738,6633842.075288847,1958278.9472768456
Lightning Bolt Rack,50,,38.53931713,-121.74793292,6633768.848401174,1958327.7808405906
Lightning Bolt Rack,16,,38.54028469,-121.75032997,6633082.255942345,1958678.2499559224
Lightning Bolt Rack,16,,38.54023655,-121.75060453,6633003.773159668,1958660.5049126744
Lightning Bolt Rack,24,,38.54087576,-121.74820355,6633689.86857225,1958895.1832490861
Lightning Bolt Rack,50,,38.5411451,-121.75133162,6632794.902514428,1958990.8077297509
Lightning Bolt Rack,30,,38.5411159,-121.75120483,6632831.197061256,1958980.2752705067
Lightning Bolt Rack,25,,38.5411909,-121.75102225,6632883.34361051,1959007.7292838395
Coat Hanger Rack,14,,38.54119636,-121.75094377,6632905.786150917,1959009.7817731649
Lightning Bolt Rack,56,,38.54114357,-121.75064997,6632989.870628417,1958990.78542009
Lightning Bolt Rack,5,,38.54145783,-121.74658399,6634152.505770341,1959108.4475863427
Lightning Bolt Rack,5,,38.54131976,-121.74663184,6634138.961178005,1959058.127805084
Lightning Bolt Rack,24,,38.54189616,-121.75062645,6632995.846010178,1959264.8813285828
Lightning Bolt Rack,5,,38.54127703,-121.74663822,6634137.178045094,1959042.5618913323
Lightning Bolt Rack,8,,38.54207563,-121.7506681,6632983.754498929,1959330.2073134184
Lightning Bolt Rack,24,,38.54213797,-121.75068582,6632978.623603672,1959352.8969005942
Lightning Bolt Rack,5,,38.54107427,-121.74713091,6633996.464743838,1958968.3291001767
Lightning Bolt Rack,6,,38.54106258,-121.747189,6633979.862742931,1958964.0246468335
Lightning Bolt Rack,20,,38.54228935,-121.7507288,6632966.181043252,1959407.9912785888
Lightning Bolt Rack,6,,38.5410819,-121.74723409,6633966.945117846,1958971.0249609202
Lightning Bolt Rack,4,,38.54104271,-121.74762016,6633856.560496092,1958956.4475622624
Lightning Bolt Rack,23,,38.54166935,-121.75238509,6632493.070769012,1959180.9061028361
Lightning Bolt Rack,56,,38.54158787,-121.75254122,6632448.495398834,1959151.1112149209
Lightning Bolt Rack,5,,38.54212477,-121.74832961,6633652.553358167,1959349.9484156668
Coat Hanger Rack,12,,38.54208932,-121.74824403,6633677.066104427,1959337.1039531678
Lightning Bolt Rack,8,,38.54205514,-121.74808172,6633723.5227044225,1959324.7847520858
Lightning Bolt Rack,8,,38.54203237,-121.7480353,6633736.8222185075,1959316.5298473388
Lightning Bolt Rack,8,,38.5420511,-121.74796148,6633757.917976841,1959323.40909867
Lightning Bolt Rack,6,,38.53778505,-121.76045039,6630189.9733410925,1957760.143852502
Lightning Bolt Rack,8,,38.53787909,-121.76052972,6630167.192546755,1957794.3314481676
Varsity Rack,24,Varsity lock,38.54013097,-121.74716125,6633988.741990253,1958624.7759815007
Varsity Rack,8,Varsity lock ,38.54018212,-121.74741996,6633914.692597672,1958643.1965483427
Varsity Rack,8,Varsity lock ,38.53992775,-121.74734693,6633935.839865088,1958550.6193056703
Lightning Bolt Rack,15,,38.5398495,-121.74725241,6633962.954968333,1958522.1984307617
Lightning Bolt Rack,40,,38.5389031,-121.7590397,6630592.39838925,1958168.3822092563
Lightning Bolt Rack,5,,38.53801416,-121.75905564,6630588.69793734,1957844.6351533383
Lightning Bolt Rack,168,,38.53960341,-121.7479495,6633763.816259012,1958432.0227580816
Lightning Bolt Rack,9,3 spaces are no longer bolted to the ground; one space is bent 45 degrees,38.53779653,-121.75915919,6630559.288547337,1957765.3003382534
Lightning Bolt Rack,9,,38.5377489,-121.75917305,6630555.36992,1957747.9463703334
Lightning Bolt Rack,5,,38.53754641,-121.75914737,6630562.910587341,1957674.222436428
Playground Rack,6,,38.53940615,-121.74649446,6634180.197972178,1958361.3431094289
Low Rack,5,Sort of like a low rack. Also has a bent bar,38.53939963,-121.74650352,6634177.613659754,1958358.9602401704
Lightning Bolt Rack,35,,38.53912828,-121.74819304,6633694.637919679,1958258.7986950874
Lightning Bolt Rack,8,,38.53899618,-121.74809786,6633721.993508011,1958210.765982762
Coat Hanger Rack,38,,38.53890027,-121.74803825,6633739.142423838,1958175.8861312568
Lightning Bolt Rack,14,,38.53898444,-121.74893572,6633482.355207756,1958205.827672422
Lightning Bolt Rack,33,,38.53847772,-121.74878169,6633526.922047764,1958021.4136711657
Lightning Bolt Rack,5,,38.53831817,-121.74842072,6633630.331945926,1957963.5948891789
Lightning Bolt Rack,24,,38.54004957,-121.75159114,6632721.76584968,1958591.6385805905
Bike Stall,18,Bike Rail,38.54014752,-121.75176853,6632670.929993346,1958627.171645999
Coat Hanger Rack,24,,38.54101803,-121.74823456,6633680.85612309,1958946.970547095
Lightning Bolt Rack,16,,38.5399807,-121.75200001,6632604.888786837,1958566.2380408347
Coat Hanger Rack,44,,38.54130442,-121.74832221,6633655.49757801,1959051.198028922
Bike Stall,24,Bike Rail,38.54055565,-121.75224834,6632533.28853634,1958775.4292235076
Lightning Bolt Rack,5,,38.54091787,-121.75219885,6632547.084440514,1958907.3777785003
Coat Hanger Rack,14,,38.54098503,-121.75195775,6632615.97701925,1958932.0237265825
Lightning Bolt Rack,35,,38.54103975,-121.75169417,6632691.310530007,1958952.1582007557
Coat Hanger Rack,52,,38.54160447,-121.74840656,6633631.067508757,1959160.4031910896
Lightning Bolt Rack,20,,38.54104272,-121.7518942,6632634.095749423,1958953.0843800008
Lightning Bolt Rack,30,,38.54115766,-121.75199356,6632605.563982338,1958994.86382401
Coat Hanger Rack,16,,38.54186053,-121.74848012,6633609.770307258,1959253.5985427499
Lightning Bolt Rack,10,,38.54125803,-121.75196986,6632612.240478173,1959031.436257422
Coat Hanger Rack,24,,38.5412758,-121.75200044,6632603.478684679,1959037.8847353458
Lightning Bolt Rack,5,,38.5420565,-121.74840094,6633632.220721677,1959325.0291741788
Coat Hanger Rack,24,,38.54132936,-121.75209993,6632574.9688991755,1959057.3105495125
Lightning Bolt Rack,24,One broken on left end,38.54119746,-121.75205977,6632586.5863300115,1959009.3090050817
Coat Hanger Rack,202,,38.54230084,-121.74854452,6633590.907484084,1959413.8961224258
Coat Hanger Rack,124,,38.54092655,-121.75117946,6632838.643240586,1958911.3357758373
Lightning Bolt Rack,16,,38.54099098,-121.75038635,6633065.425923511,1958935.42332609
Lightning Bolt Rack,16,,38.54083356,-121.75034104,6633078.542367086,1958878.128493175
Lightning Bolt Rack,16,,38.54067585,-121.75028195,6633095.600403845,1958820.7424530834
Lightning Bolt Rack,24,,38.54048153,-121.75023261,6633109.908774167,1958750.0126076788
Coat Hanger Rack,110,,38.54281842,-121.74874999,6633531.617904514,1959602.2264544219
Lightning Bolt Rack,16,,38.54126003,-121.75045549,6633045.3790475875,1959033.3512798399
Lightning Bolt Rack,16,,38.54143464,-121.7504983,6633032.959781095,1959096.907583177
Lightning Bolt Rack,55,,38.54154427,-121.75085154,6632931.817923009,1959136.5548135936
Coat Hanger Rack,110,,38.54174346,-121.75086922,6632926.563340336,1959209.079602927
Lightning Bolt Rack,4,,38.5433987,-121.74745366,6633901.7982665,1959814.5800323337
Lightning Bolt Rack,4,,38.54337076,-121.74744728,6633903.65357776,1959804.4104332626
Lightning Bolt Rack,5,,38.54330944,-121.74704592,6634018.508991092,1959782.39801009
Lightning Bolt Rack,8,,38.54327417,-121.74704284,6634019.42598401,1959769.5571565032
Lightning Bolt Rack,8,,38.54324761,-121.74703539,6634021.582803845,1959759.8885406703
Lightning Bolt Rack,5,,38.54321168,-121.74701948,6634026.16875267,1959746.8183568418
Lightning Bolt Rack,8,,38.54325587,-121.74706903,6634011.952245668,1959762.8695058376
Lightning Bolt Rack,13,,38.54324014,-121.7470739,6634010.576264173,1959757.1369057596
Coat Hanger Rack,12,,38.54271876,-121.74733928,6633935.200430676,1959567.0503436774
Coat Hanger Rack,12,,38.54272173,-121.74726879,6633955.359183013,1959568.1897770911
Coat Hanger Rack,12,,38.54273925,-121.74723367,6633965.38639392,1959574.5975726694
Coat Hanger Rack,12,,38.54276198,-121.74717112,6633983.252828002,1959582.9262961745
Coat Hanger Rack,140,,38.54169002,-121.75118322,6632836.8053177595,1959189.37196517
Lightning Bolt Rack,5,,38.54153494,-121.74658743,6634151.444420755,1959136.527910754
Lightning Bolt Rack,64,,38.54186185,-121.75102211,6632882.714346677,1959252.074267596
Bike Stall,6,,38.54140292,-121.74659288,6634150.020211011,1959088.446642086
Lightning Bolt Rack,48,,38.54164686,-121.75066748,6632984.359156504,1959174.059003666
Bike Stall,6,,38.54138063,-121.74662716,6634140.237422168,1959080.299676761
Bike Stall,6,,38.5413486,-121.74657561,6634155.0123270005,1959068.6756842583
Lightning Bolt Rack,20,,38.54166371,-121.75056414,6633013.901420251,1959180.278479427
Lightning Bolt Rack,5,,38.54113898,-121.74722542,6633969.3667009175,1958991.8205230087
Bike Rail,12,Bike Rail,38.54232026,-121.75088884,6632920.374704421,1959419.1244584173
Lightning Bolt Rack,12,,38.54241217,-121.75075985,6632957.177452341,1959452.6952574253
Lightning Bolt Rack,6,,38.54111287,-121.74725354,6633961.351953179,1958982.2883898318
Lightning Bolt Rack,5,,38.54117267,-121.74728028,6633953.643635258,1959004.046876505
Lightning Bolt Rack,5,,38.54119866,-121.74725354,6633961.265011087,1959013.530781418
Lightning Bolt Rack,5,,38.54124859,-121.74724748,6633962.946110085,1959031.71873717
Lightning Bolt Rack,5,,38.54129572,-121.74723929,6633965.242037252,1959048.890290752
Bike Stall,42,Bike Rail,38.54225427,-121.75188477,6632635.589840919,1959394.3105316758
Lightning Bolt Rack,5,,38.54127389,-121.74730351,6633946.894961089,1959040.8909629285
Lightning Bolt Rack,6,,38.54109883,-121.74759753,6633862.97682184,1958976.9019176662
Coat Hanger Rack,12,,38.54211023,-121.74818083,6633695.12118642,1959344.7699483335
Coat Hanger Rack,12,,38.54211315,-121.7481216,6633712.057832345,1959345.8805104196
Lightning Bolt Rack,23,,38.54215977,-121.74807823,6633724.415091097,1959362.8916312605
Lightning Bolt Rack,121,,38.54176006,-121.75037714,6633067.290093005,1959215.5110205114
Lightning Bolt Rack,8,,38.54210801,-121.74807512,6633725.35734643,1959344.0461965054
Lightning Bolt Rack,40,,38.54190853,-121.75042363,6633053.84392567,1959269.5460174233
Lightning Bolt Rack,8,,38.54208353,-121.74795963,6633758.41469501,1959335.2233795077
Lightning Bolt Rack,8,,38.54211534,-121.74797087,6633755.166341931,1959346.7978314161
Lightning Bolt Rack,8,,38.54213808,-121.74800446,6633745.535783753,1959355.0524080843
Lightning Bolt Rack,8,,38.54212809,-121.74804459,6633734.070583597,1959351.383780256
Lightning Bolt Rack,5,,38.54216543,-121.74795284,6633760.27394326,1959365.0517319292
Lightning Bolt Rack,6,,38.54215042,-121.74790925,6633772.7552175075,1959359.622280836
Lightning Bolt Rack,10,One spot is dented,38.54210306,-121.74788989,6633778.341164336,1959342.3910160959
Low Rack,6,,38.53810447,-121.74656287,6634161.950961426,1957887.243663922
Inverted U,6,Double Inverted U,38.53947536,-121.74448588,6634754.634487346,1958388.1570321769
Inverted U,8,Double Inverted U,38.53938038,-121.74446485,6634760.7486483455,1958353.5849228352
Coat Hanger Rack,23,,38.53781049,-121.74656739,6634160.958181262,1957780.1799016744
Lightning Bolt Rack,16,,38.53777746,-121.74665364,6634136.319779083,1957768.0818287581
Inverted U,12,Double Inverted U,38.53935253,-121.74421925,6634831.024754509,1958343.640060842
Inverted U,10,Double Inverted U,38.53924942,-121.74422458,6634829.606122181,1958306.0860020816
Coat Hanger Rack,12,,38.53729346,-121.7469564,6634050.211683586,1957591.5798851699
Inverted U,10,Double Inverted U,38.53951789,-121.744108,6634862.675609842,1958403.948667258
Inverted U,10,Double Inverted U,38.53951049,-121.74403028,6634884.9127700925,1958401.316126585
Inverted U,24,Double Inverted U,38.53971969,-121.74335044,6635079.150570586,1958478.0512093455
Inverted U,24,Double Inverted U,38.53960225,-121.74335114,6635079.072486758,1958435.281937927
Inverted U,12,Double Inverted U,38.53957152,-121.74310596,6635149.232123345,1958424.2878654152
Inverted U,12,Double Inverted U,38.53971001,-121.74310008,6635150.770178005,1958474.7306779176
Inverted U,8,,38.53807363,-121.74505407,6634593.549835756,1957877.2210461795
Inverted U,8,,38.53794896,-121.7450604,6634591.865784004,1957831.8130005002
Inverted U,38,,38.53777003,-121.74511997,6634575.011487007,1957766.602501005
Inverted U,12,,38.5373828,-121.74562424,6634431.166630343,1957625.1795555055
Inverted U,8,Double Inverted U,38.53906492,-121.74274472,6635253.078700423,1958240.090071082
Inverted U,12,Double Inverted U,38.5389549,-121.74277884,6635243.432722345,1958199.993038416
Inverted U,16,,38.53709941,-121.74526406,6634534.479415834,1957522.2634227574
Inverted U,12,Double Inverted U,38.53883316,-121.74277442,6635244.822811425,1958155.6620903462
Inverted U,12,,38.53709539,-121.74510049,6634581.271317005,1957520.9281235933
Inverted U,8,Double Inverted U,38.5390663,-121.74284337,6635224.860909089,1958240.5110020041
Inverted U,8,,38.53688313,-121.744923,6634632.258419752,1957443.7721099257
Inverted U,8,Double Inverted U,38.53906859,-121.74293417,6635198.88491118,1958241.2721553445
Inverted U,16,,38.53680774,-121.7447336,6634686.509623587,1957416.4693430066
Inverted U,12,Double Inverted U,38.53913813,-121.74309073,6635154.032966763,1958266.4715799987
Inverted U,16,,38.53680118,-121.74454565,6634740.2769045085,1957414.2298461795
Inverted U,8,Double Inverted U,38.53893773,-121.74305541,6635164.343969762,1958193.5189700127
Inverted U,8,,38.53718361,-121.74486232,6634649.307598263,1957553.2495812625
Inverted U,4,,38.5371792,-121.74477016,6634675.673687264,1957551.7177601755
Inverted U,8,Double Inverted U,38.53885462,-121.74304925,6635166.19009468,1958163.2542667538
Inverted U,18,,38.53721604,-121.74456788,6634733.495422006,1957565.2941765934
Inverted U,16,,38.53721165,-121.74435729,6634793.735787094,1957563.8647174984
Inverted U,8,Double Inverted U,38.53914987,-121.74370841,6634977.347296506,1958270.2461787611
Inverted U,22,,38.53744798,-121.7442721,6634817.861395001,1957650.0000439286
Inverted U,8,Double Inverted U,38.53942815,-121.74368545,6634983.629764259,1958371.6081807613
Inverted U,8,,38.53743014,-121.74484949,6634652.724258095,1957643.0394279212
Concrete Pod,3,,38.53745574,-121.74485177,6634652.045125589,1957652.3622439206
Inverted U,10,Double Inverted U,38.53909201,-121.74386315,6634933.145941347,1958249.049042672
Inverted U,8,,38.53768808,-121.74483195,6634657.47654517,1957736.9903555065
Inverted U,8,Double Inverted U,38.5390965,-121.74393029,6634913.93863067,1958250.6317166686
Inverted U,18,,38.53778921,-121.74462932,6634715.334369093,1957773.9833917618
Inverted U,8,Double Inverted U,38.53910132,-121.74403869,6634882.926881671,1958252.2987080961
Inverted U,20,,38.53777813,-121.74443723,6634770.288983583,1957770.1028220952
Inverted U,10,Double Inverted U,38.53910207,-121.74412646,6634857.82096076,1958252.503432095
Inverted U,8,,38.53783671,-121.74423008,6634829.481778592,1957791.6008105874
Inverted U,10,,38.53783403,-121.74415507,6634850.937772423,1957790.68513
Inverted U,16,,38.53777358,-121.74397705,6634901.919953927,1957768.8144388348
Inverted U,14,,38.53777314,-121.7437955,6634953.850952417,1957768.801643595
Inverted U,10,Double Inverted U,38.53950778,-121.74393111,6634913.281151667,1958400.411600843
Lightning Bolt Rack,28,,38.54031667,-121.74160724,6635577.135138929,1958696.8726220876
Inverted U,10,Double Inverted U,38.53950534,-121.74383776,6634939.984838426,1958399.5966418386
Inverted U,10,Double Inverted U,38.5396141,-121.74361522,6635003.524409503,1958439.3849480897
Inverted U,12,Double Inverted U,38.53972106,-121.74360353,6635006.759639263,1958478.3455000818
Inverted U,8,Double Inverted U,38.5394726,-121.742651,6635279.463162094,1958388.6317687482
Inverted U,8,Double Inverted U,38.53947726,-121.74272539,6635258.180724338,1958390.2689045817
Inverted U,8,Double Inverted U,38.53947709,-121.74283414,6635227.075799674,1958390.11995475
Inverted U,34,,38.5375205,-121.74511514,6634576.647638589,1957675.7339163423
Inverted U,8,Double Inverted U,38.53948378,-121.74290228,6635207.579447597,1958392.5011835843
Inverted U,6,Double Inverted U,38.53938957,-121.74306988,6635159.73767975,1958358.054730177
Inverted U,12,,38.53737756,-121.74538986,6634498.213740334,1957623.4567899257
Inverted U,12,,38.53725635,-121.74539132,6634497.920433834,1957579.3161301762
Inverted U,12,,38.5372556,-121.74562871,6634430.019322917,1957578.851564169
Inverted U,10,Double Inverted U,38.53905991,-121.74265912,6635277.565856174,1958238.3335129172
Inverted U,12,,38.53804419,-121.7448168,6634661.447009668,1957866.6882588416
Inverted U,12,,38.53794534,-121.74481901,6634660.917483181,1957830.690627426
Inverted U,16,,38.53821034,-121.74461307,6634719.551880345,1957927.3633343428
Inverted U,20,,38.53820911,-121.74440935,6634777.823417336,1957927.076261416
Inverted U,10,,38.53812124,-121.74422166,6634831.597259924,1957895.2301965058
Inverted U,8,,38.53824202,-121.74404597,6634881.726424754,1957939.3567486703
Inverted U,8,,38.53833167,-121.7440431,6634882.45641017,1957972.0056335032
Inverted U,10,,38.53842157,-121.74421382,6634833.531639263,1958004.6079305112
Inverted U,20,,38.53849849,-121.74440369,6634779.144937009,1958032.4681110084
Inverted U,16,,38.53849901,-121.74461104,6634719.835016251,1958032.4907487482
Inverted U,10,,38.53865737,-121.74449347,6634753.3018128425,1958090.257037416
Inverted U,8,,38.53875441,-121.74446773,6634760.565905929,1958125.6175310016
Inverted U,8,,38.53875851,-121.74422609,6634829.6783005,1958127.3045355082
Inverted U,8,,38.53865833,-121.74422663,6634829.6248229295,1958090.8197003454
Inverted U,20,,38.53874322,-121.74389987,6634923.002917007,1958121.9981156737
Inverted U,20,,38.53874144,-121.74370303,6634979.304641679,1958121.510255754
Inverted U,10,,38.53866983,-121.7435126,6635033.848495841,1958095.5851107538
Inverted U,10,,38.5386712,-121.74345159,6635051.298920259,1958096.1336660832
Inverted U,20,,38.53873188,-121.7432373,6635112.529768929,1958118.4029785097
Inverted U,20,,38.53872381,-121.74304495,6635167.555905595,1958115.6221441776
Inverted U,16,,38.53846904,-121.74338774,6635069.767715335,1958022.5609785914
Inverted U,16,,38.53847447,-121.74356552,6635018.911517844,1958024.3962767571
Inverted U,4,,38.53840812,-121.7437761,6634958.748580426,1958000.0620078444
Inverted U,12,,38.53831089,-121.7438041,6634950.839147419,1957964.6326167583
Inverted U,10,,38.53822518,-121.74380401,6634950.952008083,1957933.4190964997
Inverted U,16,,38.53805284,-121.7434434,6635054.276276514,1957870.9457962513
Inverted U,14,,38.5380604,-121.74366419,6634991.114985511,1957873.5225627571
Playground Rack,6,,38.54042589,-121.74424248,6634823.281331673,1958734.5159195065
Concrete Pod,13,,38.54058342,-121.74480982,6634660.846289083,1958791.4285353422
Lightning Bolt Rack,230,,38.54200732,-121.74890715,6633487.48413451,1959306.7162186652
Lightning Bolt Rack,32,,38.54208479,-121.7487143,6633542.563420668,1959335.0832879245
Lightning Bolt Rack,18,,38.54310278,-121.74923728,6633391.960703507,1959705.4001325816
Lightning Bolt Rack,48,,38.54287794,-121.74893894,6633477.51729092,1959623.754626587
Coat Hanger Rack,126,,38.54284119,-121.748986,6633464.093433261,1959610.332737416
Lightning Bolt Rack,44,,38.5432633,-121.74944723,6633331.750850171,1959763.692666918
Lightning Bolt Rack,20,,38.54318423,-121.74940701,6633343.333832264,1959734.9273045063
Lightning Bolt Rack,128,,38.54321299,-121.74992143,6633196.173693508,1959744.9961820096
Lightning Bolt Rack,24,,38.54340758,-121.7501095,6633142.188565254,1959815.7145445049
Lightning Bolt Rack,24,,38.54374939,-121.75020886,6633113.428452179,1959940.1165266782
Lightning Bolt Rack,13,,38.54295464,-121.75008562,6633149.47398375,1959650.7834439278
Lightning Bolt Rack,34,,38.54269131,-121.75070555,6632972.428734168,1959554.3958414197
Lightning Bolt Rack,5,,38.54406264,-121.74930376,6633371.981412753,1960054.9059952497
Coat Hanger Rack,24,,38.54415664,-121.74895897,6633470.49958843,1960089.4108475
Coat Hanger Rack,22,,38.54396027,-121.74885751,6633499.717705846,1960017.9789037555
Lightning Bolt Rack,5,,38.54387664,-121.74873481,6633534.894800842,1959987.6206967533
Coat Hanger Rack,12,,38.54402378,-121.74867611,6633551.533875167,1960041.2501826733
Coat Hanger Rack,56,,38.54340422,-121.74859256,6633576.054823503,1959815.688297838
Lightning Bolt Rack,20,,38.54330292,-121.7487641,6633527.094619587,1959778.658516258
Coat Hanger Rack,84,,38.54301455,-121.7504229,6633052.945633501,1959672.3339257538
Coat Hanger Rack,14,,38.5429625,-121.75076037,6632956.477978677,1959653.1157883406
Lightning Bolt Rack,6,,38.54295973,-121.75080319,6632944.232924417,1959652.0724833459
